id,intervention,arg_id,cq,cq,label,old_labeling
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33827_33820,Could the state intervening have consequences that we should take into account? Is it practically possible?,Could the state intervening have consequences that we should take into account? Is it practically possible?,none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,Are there other relevant goals that conflict with preventing people to mess up when working up a long-term interest rate?,Are there other relevant goals that conflict with preventing people to mess up when working up a long-term interest rate?,none,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,"Are there alternative actions to the state intervene in those cases to achieve preventing people to mess up when working up a long-term interest rate? If so, which is the most efficient action?","Are there alternative actions to the state intervene in those cases to achieve the goal of preventing people to mess up when working up a long-term interest rate? If so, which is the most efficient action?",edited,
MT_40,"I don’t think you just said the opposite of them was neutral
So if they're virtues, doesn’t that imply that the opposite of thrift and prudence is immoral?
But, hold on
Isn’t it simply the case that buying a cup of coffee is something which is substantially less demanding than working up a long-term interest rate?
Therefore isn’t it a reasonable thing for the state to intervene in those cases
because the knowledge is bounded?",33819_33820,Could the state intervene in those cases have consequences that we should take into account? Is it practically possible?,Could the intervention of the state in those cases have consequences that we should take into account? Is it practically possible?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33897_33896,How strong is the generalisation that if that form of capitalism was not making enough money in the developed world then the money did not flow into those industrial activities?,How strong is the generalisation that if a form of capitalism is not generating enough surpluses then the money will not flow into industrial activities?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33897_33896,Are there other factors in this particular case that could have interfered with the event of 'the money did not flow into those industrial activities'?,Are there other factors in this particular case that could have interfered with the event of 'the money not flowing into industrial activities'?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33894_33896,How strong is the generalisation that if that form of capitalism wasn't generating sufficient surpluses then the money did not flow into industrial activities?,How strong is the generalisation that if a form of capitalism is not generating enough surpluses then the money will not flow into industrial activities?,edited,
MT_45,"Claire’s absolutely right about that
But then the problem is that that form of capitalism wasn’t generating sufficient surpluses
And so therefore where did the money flow
It didn’t flow into those industrial activities
 because in the developed world that wasn’t making enough money",33894_33896,Are there other factors in this particular case that could have interfered with the event of 'the money did not flow into industrial activities'?,Are there other factors in this particular case that could have interfered with the event of 'the money not flowing into industrial activities'?,edited,
CF_46,"Yes, but I'm suggesting that that was a political strategy, a way of covering things up
All I'm saying is that I think the people who took the sub-prime mortgages were the beneficiaries – and now the sufferers – of what I was saying is a policy
When you think about it now, I actually find it frustrating when I'm trying to talk to people about the real state the economy is in
And people sort of assume like everything can just carry on, and all that you need is a kind of credit based consumer thing
“Well, do we have to have cuts? Do we have to have this? Do we have to have that?”
And you do actually want to say, “Money doesn’t grow on trees.”",33943_33947,How strong is the generalisation that if people took the sub-primer mortgages then they were the beneficiaries (and now the sufferers) of a policy?,How strong is the generalisation that if people have taken the sub-primer mortgages then they were the beneficiaries (and now the sufferers) of this policy?,edited,
CF_46,"Yes, but I'm suggesting that that was a political strategy, a way of covering things up
All I'm saying is that I think the people who took the sub-prime mortgages were the beneficiaries – and now the sufferers – of what I was saying is a policy
When you think about it now, I actually find it frustrating when I'm trying to talk to people about the real state the economy is in
And people sort of assume like everything can just carry on, and all that you need is a kind of credit based consumer thing
“Well, do we have to have cuts? Do we have to have this? Do we have to have that?”
And you do actually want to say, “Money doesn’t grow on trees.”",33943_33947,Are there other factors in this particular case that could have interfered with the event of 'they were the beneficiaries (and now the sufferers) of a policy'?,Are there other factors in this particular case that could have interfered with the event of 'they were the beneficiaries (and now the sufferers) of the policy'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33985_33984,How strong is the generalisation that if they want voters then they don't want to stop the consumer credit?,"How strong is the generalisation that, since the governments want voters, they don't want to stop the consumer credit?",edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33985_33984,Are there other factors in this particular case that could have interfered with the event of 'they don't want to stop the consumer credit'?,Are there other factors in this particular case that could have interfered with the event of 'the governments don't want to stop the consumer credit'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33987_33986,How strong is the generalisation that if voters feel artificially rich then voters will probably vote for the incumbent?,How strong is the generalisation that if voters feel artificially rich then voters will probably vote for the incumbent government?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33987_33986,Are there other factors in this particular case that could have interfered with the event of 'voters will probably vote for the incumbent'?,Are there other factors in this particular case that could have interfered with the event of 'voters will probably vote for the incumbent government'?,edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33986_33984,How strong is the generalisation that if they don't want to stop the incumbent then they want voters who feel artificially rich?,"How strong is the generalisation that if the government don't want people to stop voting them, then they want voters who feel artificially rich?",edited,
MP_48,"	I think it’s very interesting that capitalism is coming under such a lot of attack here
And I don’t say that’s inappropriate
But we haven’t yet attacked democracy
I mean one of the things that strikes me about this is that when you have incumbent governments, and they see that consumer credit boom mushrooming and mushrooming, what do they do?
They don’t want to stop it
They don’t want to stop it, because they want voters.
They want voters who feel artificially rich
because voters who feel artificially rich will probably vote for the incumbent",33986_33984,Are there other factors in this particular case that could have interfered with the event of 'they want voters who feel artificially rich'?,Are there other factors in this particular case that could have interfered with the event of 'they want voters who feel artificially rich'?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34074_34073,How strong is the generalisation that if the fundamentals of the economy are generating what you want then borrowing money keeps people happy in the short-term?,How strong is the generalisation that if the fundamentals of the economy aren't generating what you want then borrowing money keeps people happy in the short-term?,edited,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34074_34073,Are there other factors in this particular case that could have interfered with the event of 'borrowing money keeps people happy in the short-term'?,Are there other factors in this particular case that could have interfered with the event of 'borrowing money keeps people happy in the short-term'?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34072_34071,How strong is the generalisation that if people are borrowing money then living standards are not going up?,How strong is the generalisation that if people aren't borrowing money then living standards are not going up?,edited,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34072_34071,Are there other factors in this particular case that could have interfered with the event of 'living standards are not going up'?,Are there other factors in this particular case that could have interfered with the event of 'living standards are not going up'?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34075_34077,How strong is the generalisation that if we dismantle the social norms and values which protected us from our innate short-termism then we become vulnerable?,How strong is the generalisation that if we dismantle the social norms and values which protected us from our innate short-termism then we become vulnerable?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34075_34077,Are there other factors in this particular case that could have interfered with the event of 'we become vulnerable'?,Are there other factors in this particular case that could have interfered with the event of 'we become vulnerable'?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34076_34077,How strong is the generalisation that if the social norms that prevent people from their innate short-termism are dismantled then humans become vulnerable towards long-termism?,How strong is the generalisation that if the social norms that prevent people from their innate short-termism are dismantled then humans become vulnerable towards long-termism?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34076_34077,Are there other factors in this particular case that could have interfered with the event of 'humans become vulnerable towards long-termism'?,Are there other factors in this particular case that could have interfered with the event of 'humans become vulnerable towards long-termism'?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34073_34072,How strong is the generalisation that if living standards aren't going up then you need to let people borrow money?,How strong is the generalisation that if living standards aren't going up then you need to let people borrow money?,none,
MT_53,"And I think that also though goes back to the state of the economy
Because the fact is, if living standards aren’t going up what you do is you let people borrow money
because it keeps them happy
Because the fundamentals of the economy aren’t generating what you want. But going back to a personal level
I do believe that as a society we had created a set of social norms and values which protected us from our innate short-termism
Human beings are not very good at the long-term
And I think the dismantling of those social norms, and those laws, have made us vulnerable
And I think this is a classic case for moral paternalism",34073_34072,Are there other factors in this particular case that could have interfered with the event of 'you need to let people borrow money'?,Are there other factors in this particular case that could have interfered with the event of 'you need to let people borrow money'?,none,
