id,intervention,arg_id,cq,postedition,label,old_labeling
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233343_233352,What evidence is there that the politicians own the companies? Could the politicians have taken evidence on many sides even if the politicians owned the companies?,What evidence is there that the politicians own the companies? Could the politicians have taken evidence on many sides even if the politicians owned the companies?,none,1
TRUMP_15,"the first thing you do is do n't let the jobs leave
The companies are leaving
I could name
there are thousands of them
They 're leaving
they 're leaving in bigger numbers than ever
good luck
We wish you a lot of luck
if you think you 're going to make your air conditioners or your cars or your cookies or whatever you make and bring them into our country without a tax , you 're wrong
once you say you 're going to have to tax them coming in
the special interests want those companies to leave
 in many cases , they own the companies
our politicians never do this
they have special interests
what I 'm saying is , we can stop them from leaving
that 's a big , big factor",233343_233352,Does the matter of want those companies to leave require politicians to take evidence on many sides?,Does the matter of wanting those companies to leave require politicians to take evidence on many sides?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233415_233423,How strong is the generalization that tax policies will cause a situation like the Great Recession?,How strong is the generalization that current tax policies will cause a situation like the Great Recession?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233415_233423,Are there other factors that could interfere with or counteract the production of the effect 'a situation like the Great Recession' in this case?,Are there other factors that could interfere with or counteract the production of the effect 'a situation like the Great Recession' in this case?,wierd,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233415_233423,Is it actually the case that tax policies take their eyes off of Wall Street and create the perfect storm? Is there evidence for this claim?,Is it actually the case that tax policies taking their eyes off of Wall Street created the perfect storm? Is there evidence for this claim?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233423_233436,Is tax policy actually a typical case of other policies that take their eyes off of Wall Street? How widely applicable is the generalization?,Is the current tax policy actually a typical case of previous tax policies that also took their eyes off of Wall Street? How widely applicable is the generalization?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233423_233436,Are there special circumstances pertaining to tax policies that undermine their generalisability to other policies that take their eyes off of Wall Street?,Are there special circumstances pertaining to current tax policies that undermine their generalisability to previous policies that also took their eyes off of Wall Street?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233411_233423,Is it actually the case that tax policies have slashed taxes on the wealthy and created the perfect storm? Is there evidence for this claim?,Is it actually the case that tax policies have slashed taxes on the wealthy and created the perfect storm? Is there evidence for this claim?,none,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233411_233423,Is tax policy actually a typical case of other tax policies that slashed taxes on the wealthy? How widely applicable is the generalization?,Is current tax policy actually a typical case of previous tax policies that slashed taxes on the wealthy? How widely applicable is the generalization?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233411_233423,Are there special circumstances pertaining to tax policies that undermine their generalisability to other tax policies that slashed taxes on the wealthy?,Are there special circumstances pertaining to current tax policies that undermine their generalisability to other tax policies that slashed taxes on the wealthy?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233419_233423,Is it actually the case that tax policies save to invest in the middle class and create the perfect storm? Is there evidence for this claim?,Is it actually the case that tax policies failed to invest in the middle class and created the perfect storm? Is there evidence for this claim?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233419_233423,Is tax policies actually a typical case of other policies that save to invest in the middle class? How widely applicable is the generalization?,Is current tax policies actually a typical case of previous tax policies that failed to invest in the middle class? How widely applicable is the generalization?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233419_233423,Are there special circumstances pertaining to tax policies that undermine their generalisability to other policies that save to invest in the middle class?,Are there special circumstances pertaining to current tax policies that undermine their generalisability to other policies that failed to invest in the middle class?,edited,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233459_233443,"If Trump is blamed for the housing crisis, will housing collapse occur? What evidence supports this claim? And how likely are the consequences?","If Trump is blamed for the housing crisis, will housing collapse occur? What evidence supports this claim? And how likely are the consequences?",wrong,1
CLINTON_17,"let 's stop for a second and remember where we were eight years ago
We had the worst financial crisis , the Great Recession
the worst since the 1930s
 slashed taxes on the wealthy
failed to invest in the middle class
took their eyes off of Wall Street
created a perfect storm
was in large part because of tax policies
Donald was one of the people who rooted for the housing crisis",233459_233443,What other consequences should also be taken into account if not Trump is responsible for the housing crisis?,What other consequences should also be taken into account if not Trump is responsible for the housing crisis?,wrong,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233603_233598,"If we can build a new modern electric grid, will a lot of new economic activity occur? What evidence supports this claim? And how likely are the consequences?","If we can build a new modern electric grid, will a lot of new economic activity occur? What evidence supports this claim? And how likely are the consequences?",none,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233603_233598,What other consequences should also be taken into account if we can build a new modern electric grid?,What other consequences should also be taken into account if we can build a new modern electric grid?,none,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233590_233594,"If we can build a new modern electric grid, will creating a lot of new jobs occur? What evidence supports this claim? And how likely are the consequences?","If we can build a new modern electric grid, will creating a lot of new jobs occur? What evidence supports this claim? And how likely are the consequences?",none,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233590_233594,What other consequences should also be taken into account if we can build a new modern electric grid?,What other consequences should also be taken into account if we can build a new modern electric grid?,none,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233607_233598,How strong is the generalization that the USA can build a new modern electric grid will cause the USA to have enough clean energy to power every home?,"How strong is the generalization that if the USA can build a new modern electric grid, the USA will have enough clean energy to power every home?",edited,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233607_233598,Are there other factors that could interfere with or counteract the production of the effect 'the USA can have enough clean energy to power every home' in this case?,Are there other factors that could interfere with or counteract the production of the effect 'the USA can have enough clean energy to power every home' in this case?,wierd,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233598_233594,How strong is the generalization that we deploy half a billion more solar panels will cause us to have enough clean energy to power every home?,How strong is the generalization that if we deploy half a billion more solar panels there will be enough clean energy to power every home?,edited,1
CLINTON_25,"it 's important that we grip this and deal with it , both at home and abroad
here 's what we can do
We can deploy a half a billion more solar panels
We can have enough clean energy to power every home
We can build a new modern electric grid
That 's a lot of jobs
that 's a lot of new economic activity
 I 've tried to be very specific about what we can and should do
I am determined that we 're going to get the economy really moving again , building on the progress we 've made over the last eight years , but never going back to what got us in trouble in the first place",233598_233594,Are there other factors that could interfere with or counteract the production of the effect 'we can have enough clean energy to power every home' in this case?,Are there other factors that could interfere with or counteract the production of the effect 'we can have enough clean energy to power every home' in this case?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233808_233783,Is it actually the case that bringing back jobs is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,Is it actually the case that bringing back jobs is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233808_233783,Is bringing back jobs actually a typical case of other matters that are an issue Clinton thinks about what has worked in the past? How widely applicable is the generalization?,Is bringing back jobs an issue Clinton thinks about what has worked in the past? How widely applicable is the generalization?,edited,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233808_233783,Are there special circumstances pertaining to bringing back jobs that undermine its generalisability to other matters that is an issue Clinton thinks about what has worked in the past?,Are there special circumstances pertaining to bringing back jobs that undermine its generalisability to other matters that Clinton thinks about what has worked in the past?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233826_233808,Is it actually the case that creating millions of new jobs is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,Is it actually the case that creating millions of new jobs is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233826_233808,Is creating millions of new jobs actually a typical case of other matters that are an issue Clinton thinks about what has worked in the past? How widely applicable is the generalization?,Is creating millions of new jobs actually a typical case of other matters that are an issue Clinton thinks about what has worked in the past? How widely applicable is the generalization?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233826_233808,Are there special circumstances pertaining to creating millions of new jobs that undermine its generalisability to other matters that is an issue Clinton thinks about what has worked in the past?,Are there special circumstances pertaining to creating millions of new jobs that undermine its generalisability to other matters that thinks about what has worked in the past?,none,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233822_233808,Is it actually the case that a balanced budget is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,Is it actually the case that a balanced budget is an issue Clinton thinks about what has worked in the past and is an issue Clinton thinks we can make happen again? Is there evidence for this claim?,edited,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233822_233808,Is a balanced budget actually a typical case of other matters that are an issue Clinton thinks about: what has worked in the past? How widely applicable is the generalization?,Is a balanced budget actually a typical case of other matters that are an issue Clinton thinks about what has worked in the past? How widely applicable is the generalization?,wierd,1
CLINTON_29,"not quite that long
my husband did a pretty good job in the 1990s
I think a lot about what worked and how we can make it work again",233822_233808,"Are there special circumstances pertaining to a balanced budget that undermine its generalisability to other matters, which is an issue Clinton thinks about what has worked in the past?","Are there special circumstances pertaining to a balanced budget that undermine its generalisability to other matters, which is an issue Clinton thinks about what has worked in the past?",wierd,1
CLINTON_33,"Incomes went up for everybody
 Manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts
When I was in the Senate , I had a number of trade deals that came before me
I held them all to the same test
Will they create jobs in America ?
Will they raise incomes in America ?
are they good for our national security ?",233843_233801,Is there a proven relation between'manufacturing jobs went up in the 1990s' and 'Bill Clinton did a pretty good job in the 1990s'?,Is there a proven relation between 'manufacturing jobs went up in the 1990s' and 'Bill Clinton's job in the 1990s'?,edited,1
CLINTON_33,"Incomes went up for everybody
 Manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts
When I was in the Senate , I had a number of trade deals that came before me
I held them all to the same test
Will they create jobs in America ?
Will they raise incomes in America ?
are they good for our national security ?",233843_233801,Are there any events other than Bill Clinton doing a pretty good job in the 1990s that would more reliably account for the increase in manufacturing jobs in the 1990s?,Are there any events other than Bill Clinton doing a pretty good job in the 1990s that would more reliably account for the increase in manufacturing jobs in the 1990s?,none,1
CLINTON_33,"Incomes went up for everybody
 Manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts
When I was in the Senate , I had a number of trade deals that came before me
I held them all to the same test
Will they create jobs in America ?
Will they raise incomes in America ?
are they good for our national security ?",233847_233801,Is there a proven relation between 'incomes went up' and 'Bill Clinton did a pretty good job in the 1990s'?,Is there a proven relation between 'incomes went up' and 'Bill Clinton's job in the 1990s'?,edited,1
CLINTON_33,"Incomes went up for everybody
 Manufacturing jobs went up also in the 1990s , if we 're actually going to look at the facts
When I was in the Senate , I had a number of trade deals that came before me
I held them all to the same test
Will they create jobs in America ?
Will they raise incomes in America ?
are they good for our national security ?",233847_233801,Are there any events other than Bill Clinton doing a pretty good job in the 1990s that would more reliably account for income going up?,Are there any events other than Bill Clinton doing a pretty good job in the 1990s that would more reliably account for income going up?,none,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253575_253571,Is it actually the case that American exports under Clinton's leadership increased a lot? Is there evidence for this claim?,Is it actually the case that American exports under Clinton's leadership increased a lot? Is there evidence for this claim?,none,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253575_253571,"Is American exports actually a typical case of other relevant statistics, such as new jobs, that have been created under Clinton's leadership? How widely applicable is the generalization?","Is American exports actually a typical case of other relevant statistics, such as new jobs, that have imrpoved under Clinton's leadership? How widely applicable is the generalization?",edited,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253575_253571,"Are there special circumstances pertaining to American exports that undermine its generalisability to other relevant statistics, such as new jobs, that have been created under Clinton's leadership?","Are there special circumstances pertaining to American exports that undermine its generalisability to other relevant statistics, such as new jobs, that have improved under Clinton's leadership?",edited,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253598_253606,"Is it actually the case that China's exports Clinton has been working on this, and exports increase 50 percent and helped create new jobs? Is there evidence for this claim?","Is it actually the case that Clinton has been working on China's exports, and consequently exports have increased 50 percent and helped create new jobs? Is there evidence for this claim?",edited,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253598_253606,Is China's exports actually a typical case of other countries' exports that Clinton has been working on? How widely applicable is the generalization?,Is China's exports actually a typical case of other countries' exports that Clinton has been working on? How widely applicable is the generalization?,none,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253598_253606,Are there special circumstances pertaining to China's exports that undermine its generalisability to other countries' exports that Clinton has been working on?,Are there special circumstances pertaining to China's exports that undermine its generalisability to other countries' exports that Clinton has been working on?,none,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253602_253606,Are there other relevant goals that conflict with Clinton holding the same standards as she looks at all of these trade deals?,Are there other relevant goals that conflict with the goal of Clinton holding the same standards as she looks at all of these trade deals?,wierd,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253602_253606,"Are there alternative actions to Clinton voting against the biggest deal, a multinational one known as CAFTA, to achieve Clinton holding the same standards as she looks at all of these trade deals? If so, which is the most efficient action?","Are there alternative ways of showing that ""Clinton holt the same standards as she looked at differnt trade deals"" than ""Clinton voting against the biggest deal, a multinational one known as CAFTA""?",edited,1
CLINTON_37," Some of them I voted for
The biggest one, a multinational one known as CAFTA, I voted against
I hold the same standards as I look at all of these trade deals
let's not assume that trade is the only challenge we have in the economy
it is a part of it
I'm going to have a special prosecutor
We're going to enforce the trade deals we have, and we're going to hold people accountable
When I was secretary of state, we actually increased American exports globally 30 percent
We increased them to China 50 percent
 know how to really work to get new jobs and to get exports that helped to create more new jobs",253602_253606,"Could Clinton voting against the biggest deal, a multinational one known as CAFTA, have consequences that we should take into account? Is it practically possible?","Could Clinton voting against the biggest deal, a multinational one known as CAFTA, have consequences that we should take into account? Is it practically possible?",none,1
CLINTON_39,"I've been a senator, Donald
...
You haven't done it.
 I have been a secretary of state
And I have done a lot",253642_253649,Is it actually the case that Clinton has been a senator and has done a lot? Is there evidence for this claim?,Is it actually the case that Clinton has been a senator and has done a lot? Is there evidence for this claim?,none,1
CLINTON_39,"I've been a senator, Donald
...
You haven't done it.
 I have been a secretary of state
And I have done a lot",253642_253649,Is Clinton actually a typical case of other people that have been a senator? How widely applicable is the generalization?,Is Clinton actually a typical case of other people that have been a senator? How widely applicable is the generalization?,none,1
