arg_id,scheme,llm_cq_id,premises,llm_cq,can an answer to this question diminish the acceptability of the argument?,reading-comprehension cues,my taxonomy,burden-of-proof,explanation,BOOK TYPE,"(1) premise: premise acceptability
(2) link: acceptability of the link, relative to some given standard of evidence
(3) other considerations: whether there are other relevant considerations which would count against the claim at issue
(4) specific: directed specifically towards features of particular relevance to individual argumentation scheme"
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_13,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.",How would releasing tax returns provide a complete picture of a candidate's financial situation and potential conflicts of interest?,no,,consequences,,NO,,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_12,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","How might the public benefit from seeing Trump's tax returns, and how might this information be used to evaluate his fitness for office?",yes,,consequences,,"if there is no benefit to people seeing Trump's tax returns, then the argument does not hold --> YES",,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_10,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","What are the potential consequences of Trump's refusal to release his tax returns, and how might this impact his ability to serve as President?",yes,,consequences,,"if there is no impact to the event of people knowing the tax returns, then the argument there is no reason to believe that he does not want to show them --> YES",,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_9,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","Is it fair to make assumptions about Trump's financial dealings based on his refusal to release his tax returns, or is this a case of ""guessing"" as Clinton suggests?",yes,,other,,"if it does not make sense to make a connect between his refusal to show the tax rate and his wrong doing, then the argument does not hold --> YES",other considerations,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_2,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.",How detailed are these statements compared to tax returns?,yes,,definition,,"if there is no information in the disclosure statements, then there is no point in saying that he is hidding them --> YES",,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_8,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","What are the potential conflicts of interest that Clinton is referring to, and how would having access to Trump's tax returns help to identify them?",yes,,definition,,YES,,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_3,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","Has Trump given any indication of releasing his tax returns, and why does Clinton think otherwise?",no,,,,NO,premise,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_7,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","What specific conflicts of interest might Trump have if he were to become President, and how might his tax returns help to address these concerns?",yes,,relation,,YES,,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_4,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.",What could Trump potentially be hiding by not releasing his tax returns?,yes,,relation,,YES,,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_6,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.",What specific information is missing from the financial disclosure statements that Clinton believes the American people deserve to see?,yes,,relation,,"if there is no information in the disclosure statements, then there is no point in saying that he is hidding them --> YES",,
CLINTON_107_0,Argument from Verbal Classification,CLINTON_107_5,"
Generally, if people don't give their tax rate in their financial disclosure, then it can be the case that probably they are not enthusiatic about having the rest of the country know what the real reasons are.
Trump don't give their tax rate in their financial disclosure.
Therefore, Trump probably is not enthusiatic about having the rest of the country know what the real reasons are.","What is the purpose of financial disclosure statements, and how do they differ from tax returns?",no,,,,"the question is asking for more info, but not specifically making the connection of why having this info changes the argument",,
CLINTON_107_1,Argument from Values,CLINTON_107_7,"
transparency is good as judged by Clinton.
The fact that transparency is good affects tha interpretation and therefore the evaluation of Trump should tell the audience who does he owe money to of Clinton.
transparency is a reason for retaining (or retracting) commitment to Trump should tell the audience who does he owe money to.","What specific conflicts of interest might Trump have if he were to become President, and how might his tax returns help to address these concerns?",yes,,relation,,"if the tax returns do not uncover his conflicts of interest, there is no connect with transparency",,
CLINTON_107_1,Argument from Values,CLINTON_107_13,"
transparency is good as judged by Clinton.
The fact that transparency is good affects tha interpretation and therefore the evaluation of Trump should tell the audience who does he owe money to of Clinton.
transparency is a reason for retaining (or retracting) commitment to Trump should tell the audience who does he owe money to.",How would releasing tax returns provide a complete picture of a candidate's financial situation and potential conflicts of interest?,yes,,relation,,,,
CLINTON_107_1,Argument from Values,CLINTON_107_12,"
transparency is good as judged by Clinton.
The fact that transparency is good affects tha interpretation and therefore the evaluation of Trump should tell the audience who does he owe money to of Clinton.
transparency is a reason for retaining (or retracting) commitment to Trump should tell the audience who does he owe money to.","How might the public benefit from seeing Trump's tax returns, and how might this information be used to evaluate his fitness for office?",yes,,relation,,,,
CLINTON_107_1,Argument from Values,CLINTON_107_10,"
transparency is good as judged by Clinton.
The fact that transparency is good affects tha interpretation and therefore the evaluation of Trump should tell the audience who does he owe money to of Clinton.
transparency is a reason for retaining (or retracting) commitment to Trump should tell the audience who does he owe money to.","What are the potential consequences of Trump's refusal to release his tax returns, and how might this impact his ability to serve as President?",yes,,consequences,,,,
CLINTON_107_2,Generic Ad Hominem,CLINTON_107_7,"
If Trump has nothing to hide, it does not make sense that Trump is not going to release his tax returns.
Therefore, arguments from Trump can't be trusted.","What specific conflicts of interest might Trump have if he were to become President, and how might his tax returns help to address these concerns?",yes,,relation,,,,
CLINTON_107_2,Generic Ad Hominem,CLINTON_107_13,"
If Trump has nothing to hide, it does not make sense that Trump is not going to release his tax returns.
Therefore, arguments from Trump can't be trusted.",How would releasing tax returns provide a complete picture of a candidate's financial situation and potential conflicts of interest?,yes,,relation,,,,
CLINTON_107_2,Generic Ad Hominem,CLINTON_107_10,"
If Trump has nothing to hide, it does not make sense that Trump is not going to release his tax returns.
Therefore, arguments from Trump can't be trusted.","What are the potential consequences of Trump's refusal to release his tax returns, and how might this impact his ability to serve as President?",yes,,consequences,,,,
CLINTON_107_2,Generic Ad Hominem,CLINTON_107_4,"
If Trump has nothing to hide, it does not make sense that Trump is not going to release his tax returns.
Therefore, arguments from Trump can't be trusted.",What could Trump potentially be hiding by not releasing his tax returns?,yes,,relation,,,,
TRUMP_112_0,Argument from Verbal Classification,TRUMP_112_0,"
Generally, if email is sent using a private e-mail, then it can be the case that it is done on purpose.
this email is sent using a private e-mail.
Therefore, this email it is done on purpose.","What evidence exists to support Trump's claim that Hillary Clinton's actions during her time as Secretary of State were intentional and not accidental? How does this accusation relate to his criticism of Clinton's staff and advisors taking the Fifth Amendment?""",no,,,,these are the actual evidences --> sending a private mail,,
TRUMP_112_0,Argument from Verbal Classification,TRUMP_112_3,"
Generally, if email is sent using a private e-mail, then it can be the case that it is done on purpose.
this email is sent using a private e-mail.
Therefore, this email it is done on purpose.","Does Trump provide any specific examples of what he considers to be mistakes versus intentional actions? If not, how can we determine which allegations are true and which may be exaggerated or false?",no,,,,,,
TRUMP_112_0,Argument from Verbal Classification,TRUMP_112_5,"
Generally, if email is sent using a private e-mail, then it can be the case that it is done on purpose.
this email is sent using a private e-mail.
Therefore, this email it is done on purpose.",What evidence is there to support the claim that the staff members taking the Fifth Amendment did so intentionally?,no,,,,,,
TRUMP_112_0,Argument from Verbal Classification,TRUMP_112_6,"
Generally, if email is sent using a private e-mail, then it can be the case that it is done on purpose.
this email is sent using a private e-mail.
Therefore, this email it is done on purpose.",What evidence is there to support the claim that the staff members taking the Fifth Amendment did so purposely?,no,,,,,,
TRUMP_112_1,Circumstantial Ad Hominem,TRUMP_112_8,"
Clinton advocates for her staff taking the Fifth Amendment, which implies her team was not completely legal.
Clinton is personally committed to the opposite of her team was not completely legal, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",What specific laws or regulations were violated by the man who set up the illegal server?,yes,,definition,,"if there are no ilegal actions, the team was legal",,
TRUMP_112_1,Circumstantial Ad Hominem,TRUMP_112_1,"
Clinton advocates for her staff taking the Fifth Amendment, which implies her team was not completely legal.
Clinton is personally committed to the opposite of her team was not completely legal, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","Is Trump providing sufficient context for his statements about people taking the Fifth Amendment and setting up an ""illegal server""? How might this affect the credibility of his accusations?",no,,,,"the credibility being questioned is Clinton's, not the right question",link,
TRUMP_112_1,Circumstantial Ad Hominem,TRUMP_112_0,"
Clinton advocates for her staff taking the Fifth Amendment, which implies her team was not completely legal.
Clinton is personally committed to the opposite of her team was not completely legal, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What evidence exists to support Trump's claim that Hillary Clinton's actions during her time as Secretary of State were intentional and not accidental? How does this accusation relate to his criticism of Clinton's staff and advisors taking the Fifth Amendment?""",no,,,,"the argument relates fifth amendment to illegal activities, and the question relates intentionality to the amendment, so not really the same topic",,
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_8,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",What specific laws or regulations were violated by the man who set up the illegal server?,no,,,,the argument is questioning the relation between the fifth amendment and doing ilegal activities,,
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_6,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",What evidence is there to support the claim that the staff members taking the Fifth Amendment did so purposely?,no,,,,not the right connection,,
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_5,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.",What evidence is there to support the claim that the staff members taking the Fifth Amendment did so intentionally?,no,,,,not the right connection,,
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_1,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","Is Trump providing sufficient context for his statements about people taking the Fifth Amendment and setting up an ""illegal server""? How might this affect the credibility of his accusations?",no,,,,,link,
TRUMP_112_2,Circumstantial Ad Hominem,TRUMP_112_0,"
Clinton advocates for the man that set up the illegal server taking the Fifth Amendment, which implies they did ilegal activities.
Clinton is personally committed to the opposite of they did ilegal activities, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What evidence exists to support Trump's claim that Hillary Clinton's actions during her time as Secretary of State were intentional and not accidental? How does this accusation relate to his criticism of Clinton's staff and advisors taking the Fifth Amendment?""",no,,,,,,
CLINTON_136_0,Argument From Sign,CLINTON_136_9,"
police are having to handle a lot of really difficult mental health problems is true in this situation.
police are having to handle a lot of really difficult mental health problems is often a sign of situations in which mental health is one of the biggest concerns is true.
mental health is one of the biggest concerns might be true in this situation.","What specific mental health concerns do police chiefs have, and how will the federal government's proposed support and training address these concerns?",no,,,,,,
CLINTON_136_1,Argument from Position to Know,CLINTON_136_2,"
police chiefs are in a position to know whether it is the case that the police want support, they want more training, they want more assistance.
police chiefs asserts that it is the case that the police want support, they want more training, they want more assistance.
the police want support, they want more training, they want more assistance is the case.","Why does Clinton believe that addressing implicit bias through retraining is necessary, and how does she propose funding this initiative?",no,,,,,,
CLINTON_136_1,Argument from Position to Know,CLINTON_136_3,"
police chiefs are in a position to know whether it is the case that the police want support, they want more training, they want more assistance.
police chiefs asserts that it is the case that the police want support, they want more training, they want more assistance.
the police want support, they want more training, they want more assistance is the case.","Who did Clinton meet with regarding implicit bias in policing, and what were their perspectives on the issue?",no,,source,,,specific,
CLINTON_136_1,Argument from Position to Know,CLINTON_136_11,"
police chiefs are in a position to know whether it is the case that the police want support, they want more training, they want more assistance.
police chiefs asserts that it is the case that the police want support, they want more training, they want more assistance.
the police want support, they want more training, they want more assistance is the case.","How does the federal government providing support, training, and assistance address the concerns of police chiefs?",yes,,relation,,,,
CLINTON_136_1,Argument from Position to Know,CLINTON_136_9,"
police chiefs are in a position to know whether it is the case that the police want support, they want more training, they want more assistance.
police chiefs asserts that it is the case that the police want support, they want more training, they want more assistance.
the police want support, they want more training, they want more assistance is the case.","What specific mental health concerns do police chiefs have, and how will the federal government's proposed support and training address these concerns?",no,,,,,,
CLINTON_136_2,Argument from Bias,CLINTON_136_0,"
too many of us in our great country have implicit biases.
people with implicit bias are biased regarding the matter of jumping to conclusions about each other
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at jumping to conclusions about each other.
It is less likely that too many of us in our great country has taken the evidence on both sides of the issue into account.",How does Clinton define 'implicit bias' and what evidence does she present to support its existence?,yes,,definition,,,,this argument is stupid
CLINTON_136_2,Argument from Bias,CLINTON_136_12,"
too many of us in our great country have implicit biases.
people with implicit bias are biased regarding the matter of jumping to conclusions about each other
If someone is biased, then it is less likely that they have taken the evidence on both sides of the issue into account in arriving at jumping to conclusions about each other.
It is less likely that too many of us in our great country has taken the evidence on both sides of the issue into account.",What is the definition of implicit bias and how is it measured?,yes,,definition,,,,this argument is stupid
TRUMP_129_2_0,Argument from Analogy,TRUMP_129_2_0,"
Generally, the situation in Ferguson is similar to the situation in Chicago.
not having good community relations is true in Chicago.
not having good community relations is true in Ferguson.",What evidence supports the claim that 'better relationships between the communities and the police' will solve the issues in these areas? Are there any specific examples provided?,no,,,,,,
TRUMP_129_2_0,Argument from Analogy,TRUMP_129_2_10,"
Generally, the situation in Ferguson is similar to the situation in Chicago.
not having good community relations is true in Chicago.
not having good community relations is true in Ferguson.",What specific steps does Trump propose to improve relationships between law enforcement and the communities they serve in inner cities?,no,,,,,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_14,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.",How does Trump's focus on law and order in inner cities address the root causes of social unrest and violence in these communities?,yes,,relation,,,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_13,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.","What is the long-term goal of the argument's call for ""law and order"" in inner cities, and how will it address the underlying issues that lead to social unrest and crime?",yes,,relation,,,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_9,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.","How does Trump's call for ""law and order"" address the systemic issues that contribute to the perceived need for it in inner cities?",yes,,relation,,,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_7,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.","How does Trump define ""law and order"" and what specific policies does he advocate for achieving it in inner cities?",yes,,definition,,,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_1,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.",How do Trump's statements about 'law and order' address the underlying causes of violence and inequality in these communities? Is he proposing any concrete solutions beyond simply increasing police presence?,yes,,relation,,these questions need to have an answered in order to understand the argument,,
TRUMP_129_2_1,Argument from Consequences,TRUMP_129_2_4,"
If USA inner cities need law and order, then African-American and Hispanic people would suffer less injustices may plausibly occur.
African-American and Hispanic people would suffer less injustices has a positive consequence.
USA inner cities need law and order should  occur.","What evidence is there to support the claim that there is a lack of ""law and order"" in inner cities?",yes,,evidence,,,,
TRUMP_129_2_3,Argument from Example,TRUMP_129_2_6,"
In this particular case, in Dallas the relations between communities and the police were a beautiful thing and also five police officers were killed one night very violently.
Therefore, other cities that the relations between communities and the police were a beautiful thing, might also five police officers were killed one night very violently.","What specific examples or data are provided to demonstrate the supposed ""beautiful thing"" that existed between communities and police in the past?",yes,,evidence,,,,
TRUMP_129_2_3,Argument from Example,TRUMP_129_2_10,"
In this particular case, in Dallas the relations between communities and the police were a beautiful thing and also five police officers were killed one night very violently.
Therefore, other cities that the relations between communities and the police were a beautiful thing, might also five police officers were killed one night very violently.",What specific steps does Trump propose to improve relationships between law enforcement and the communities they serve in inner cities?,no,,,,,,
TRUMP_129_2_3,Argument from Example,TRUMP_129_2_0,"
In this particular case, in Dallas the relations between communities and the police were a beautiful thing and also five police officers were killed one night very violently.
Therefore, other cities that the relations between communities and the police were a beautiful thing, might also five police officers were killed one night very violently.",What evidence supports the claim that 'better relationships between the communities and the police' will solve the issues in these areas? Are there any specific examples provided?,yes,,evidence,,,,
TRUMP_129_2_4,Argument from Example,TRUMP_129_2_3,"
In this particular case, in Chicago Clinton does not have relations and also things are bad there.
Therefore, other cities that Clinton does not have relations, might also things are bad there.","How does Trump define 'bad things' happening in these communities? Are they referring specifically to crime and violence, or something broader?""",yes,,definition,,,,
TRUMP_129_2_4,Argument from Example,TRUMP_129_2_5,"
In this particular case, in Chicago Clinton does not have relations and also things are bad there.
Therefore, other cities that Clinton does not have relations, might also things are bad there.","What specific examples does Trump provide to support his claim that there are ""bad things going on"" in inner cities?",yes,,evidence,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_14,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.",How does Trump's focus on law and order in inner cities address the root causes of social unrest and violence in these communities?,yes,,relation,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_13,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.","What is the long-term goal of the argument's call for ""law and order"" in inner cities, and how will it address the underlying issues that lead to social unrest and crime?",yes,,relation,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_9,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.","How does Trump's call for ""law and order"" address the systemic issues that contribute to the perceived need for it in inner cities?",yes,,relation,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_7,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.","How does Trump define ""law and order"" and what specific policies does he advocate for achieving it in inner cities?",yes,,definition,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_4,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.","What evidence is there to support the claim that there is a lack of ""law and order"" in inner cities?",yes,,evidence,,,,
TRUMP_129_2_5,Argument from Consequences,TRUMP_129_2_1,"
If we don't have order in the inner cities, then African-American and Hispanic people will be affected may plausibly occur.
African-American and Hispanic people will be affected has a negative consequence.
we don't have order in the inner cities should not occur.",How do Trump's statements about 'law and order' address the underlying causes of violence and inequality in these communities? Is he proposing any concrete solutions beyond simply increasing police presence?,yes,,relation,,,,
TRUMP_174_1_0,Generic Ad Hominem,TRUMP_174_1_3,"
If Clinton prepares debates against Obama, it does not make sense that Clinton defends Obama.
Therefore, arguments from Clinton can't be trusted.",What specific instances of disrespect towards Barack Obama is Trump referring to?,no,,,,,,
TRUMP_174_1_0,Generic Ad Hominem,TRUMP_174_1_6,"
If Clinton prepares debates against Obama, it does not make sense that Clinton defends Obama.
Therefore, arguments from Clinton can't be trusted.","Is there any evidence to support the claim that the speaker was ""after"" Obama?",yes,,evidence,,,,
TRUMP_174_1_0,Generic Ad Hominem,TRUMP_174_1_4,"
If Clinton prepares debates against Obama, it does not make sense that Clinton defends Obama.
Therefore, arguments from Clinton can't be trusted.","How does the speaker's characterization of the debates as ""terrible disrespect"" align with the facts?",no,,,,,,
TRUMP_174_1_0,Generic Ad Hominem,TRUMP_174_1_2,"
If Clinton prepares debates against Obama, it does not make sense that Clinton defends Obama.
Therefore, arguments from Clinton can't be trusted.",What specific instances of disrespect towards Barack Obama are being referred to?,no,,,,,,
