arg_id,scheme,llm_cq_id,premises,llm_cq,inferential,why RC,taxonomy,burden-of-proof,
TRUMP_174_1_4,Circumstantial Ad Hominem,TRUMP_174_1_3,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What is the purpose of Trump's statement, and what does he hope to achieve by bringing up these past events?",yes,"""what is the purpose of""",other,receiver,
TRUMP_174_1_4,Circumstantial Ad Hominem,TRUMP_174_1_2,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","Is the speaker's argument that the current speaker is being overly complimentary and insincere, or is there another underlying assumption being made?",yes,,other,receiver,
TRUMP_174_1_4,Circumstantial Ad Hominem,TRUMP_174_1_1,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What is the purpose of bringing up the past debates with Obama, and how does it relate to the current context?",yes,"""what is the purpose of""",other,receiver,
TRUMP_240_1_1,Circumstantial Ad Hominem,TRUMP_174_1_0,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","How has Clinton's demeanor changed since those debates, as described by Trump? Is there any evidence provided to support his claim?",yes,"""as described by Trump""",evidence,speaker,
TRUMP_240_1_2,Circumstantial Ad Hominem,TRUMP_174_1_3,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What is the purpose of Trump's statement, and what does he hope to achieve by bringing up these past events?",yes,"""what is the purpose of""",other,receiver,
TRUMP_240_1_5,Circumstantial Ad Hominem,TRUMP_174_1_2,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","Is the speaker's argument that the current speaker is being overly complimentary and insincere, or is there another underlying assumption being made?",yes,,relation,,
TRUMP_99_0,Circumstantial Ad Hominem,TRUMP_174_1_1,"
Clinton advocates for how lovely everything is, which implies Obama was good.
Clinton is personally committed to the opposite of Obama was good, as shown by the commitments expressed in their personal actions or personal circumstances expressing such commitments.
Clinton',s credibility as a sincere person who believes in their own argument has been put into question.
The plausibility of Clinton's argument is decreased or destroyed.","What is the purpose of bringing up the past debates with Obama, and how does it relate to the current context?",yes,,relation,,
TRUMP_99_2,Argument from Example,TRUMP_240_1_0,"
In this particular case, North Korea the USA is doing nothing there and also Trump can't take anything off the table.
Therefore, other political matters that the USA is doing nothing there, might also Trump can't take anything off the table.","What are the implications of Trump's statement that ""we can't take anything off the table"" in terms of military action against North Korea?",yes,,consequences,receiver,
TRUMP_99_3,Argument from Consequences,TRUMP_240_1_0,"
If China can solve that problem for the USA, then Trump can't take anything of the table may plausibly occur.
Trump can't take anything of the table has a positive consequence.
China can solve that problem for the USA should  occur.","What are the implications of Trump's statement that ""we can't take anything off the table"" in terms of military action against North Korea?",yes,,consequences,receiver,
TRUMP_99_4,Argument from Consequences,TRUMP_240_1_0,"
If Trump can't take anything off the table, then China should go into North Korea may plausibly occur.
China should go into North Korea has a positive consequence.
Trump can't take anything off the table should  occur.","What are the implications of Trump's statement that ""we can't take anything off the table"" in terms of military action against North Korea?",yes,,consequences,receiver,
TRUMP_99_4,Argument from Verbal Classification,TRUMP_99_1,"
Generally, if someone is not even complaining, then it can be the case that doesn't mind it.
Trump is not even complaining.
Therefore, Trump doesn't mind it.","What is Hillary Clinton's reason for deleting 33,000 emails and why does Trump suggest releasing his tax returns only after she releases hers? How does Trump feel about being audited frequently by the IRS compared to other wealthy individuals?""",no,"""why""",none,none,wrong
